Word, Alternative, Definition
a,kin,"PARTICLE ah, (emphasis, emotion, or confirmation)"
akesi,,"NOUN non-cute animal; reptile, amphibian"
ala,,"ADJECTIVE no, not, zero"
alasa,,"VERB to hunt, forage"
ale,ali,"ADJECTIVE all; abundant, countless, bountiful, every, plentiful NOUN abundance, everything, life, universe NUMBER 100"
anpa,,"ADJECTIVE down, bowing down, downward, humble, lowly, dependent"
ante,,"ADJECTIVE different, altered, changed, other"
anu,,"PARTICLE or"
awen,,"ADJECTIVE enduring, kept, protected, safe, waiting, staying PRE-VERB to continue to"
e,,PARTICLE the,(before the direct object)
en,,PARTICLE and the,(between multiple subjects)
esun,,"NOUN market, shop, fair, bazaar, business transaction"
ijo,,"NOUN thing, phenomenon, object, matter"
ike,,"ADJECTIVE bad, negative; non-essential, irrelevant"
ilo,,"NOUN tool, implement, machine, device"
insa,,"NOUN centre, content, inside, between; internal organ, stomach"
jaki,,"ADJECTIVE disgusting, obscene, sickly, toxic, unclean, unsanitary"
jan,,"NOUN person, human being, somebody"
jelo,,"ADJECTIVE yellow, yellowish"
jo,,"VERB to have, carry, contain, hold"
kala,,"NOUN fish, marine animal, sea creature"
kalama,,"VERB to produce a sound; recite, utter aloud"
kama,,"ADJECTIVE arriving, coming, future, summoned PRE-VERB to become, manage to, succeed in"
kasi,,"NOUN plant, vegetation, herb, leaf"
ken,,"PRE-VERB able, to be able to, be allowed to, can, may ADJECTIVE possible"
kepeken,,"PREPOSITION to use, with, by means of"
kili,,"NOUN fruit, vegetable, mushroom"
kiwen,,"NOUN hard object, metal, rock, stone"
ko,,"NOUN clay, clinging form, dough, semi-solid, paste, powder"
kon,,"NOUN air, breath; essence, spirit; hidden reality, unseen agent"
kule,,"ADJECTIVE colourful, pigmented, painted"
kulupu,,"NOUN community, company, group, nation, society, tribe"
kute,,"NOUN ear VERB to hear, listen; pay attention to, obey"
la,,"PARTICLE (the effect is), (between the context phrase and the main sentence)"
lape,,"ADJECTIVE sleeping, resting"
laso,,"ADJECTIVE blue, green"
lawa,,"NOUN head, mind VERB to control, direct, guide, lead, own, plan, regulate, rule"
len,,"NOUN cloth, clothing, fabric, textile; cover, layer of privacy"
lete,,"ADJECTIVE cold, cool; uncooked, raw"
li,,"PARTICLE (is), (between any subject except 'mi' alone or 'sina' alone and its verb; also to introduce a new verb for the same subject)"
lili,,"ADJECTIVE little, small, short; few; a bit; young"
